year,class,question_set,description,test_number,function,func_arg_list,in_list,exp_out_list,return_values
2023,8,0,"title",1,ex1,"[]","[10,20]","['hello 10', 'hello 20']","[None]"
2023,8,0,"title",2,ex1,"[12]","[10,12]","['hello 10', 'hello 20']","[None]"
2023,8,0,"title",1,ex2,"[3]","[10,20,30]","['60']","[None]"
2023,8,0,"title",1,ex3,"[40]","[]","[1040, 10]","[1040, 10]"
2023,8,0,"title",1,ex4,"[3]","['hello']","['hellohellohello']","[None]"
2023,8,0,"title",1,ex4,"[4]","['tomer']","['tomertomertomer']","[None]"
2023,8,1,"print_welcome",1,ex1,"[]","[]","['welcome\n']","[None]"
2023,8,1,"print_welcome",1,ex2,"[]","[]","['welcomewelcomewelcomewelcomewelcome\n']","[None]"
2023,8,1,"print_welcome",1,ex3,"[]","[]","['welcome to python\n']","[None]"
2023,8,1,"print_welcome",1,ex4,"[]","[]","['welcome\n','to\n','python\n']","[None]"
2023,8,1,"print_welcome",1,ex5,"[]","[]","['90\n']","[None]"
2023,8,1,"print_welcome",1,ex6,"[]","[]","['the result is : 90\n']","[None]"
2023,8,2,"ex02",1,ex2,"[]","[]","['9 -1 20 0.8\n']","[None]"
2023,8,2,"ex03",1,ex3,"[]","[]","['red\n', 'green\n', 'blue\n']","[None]"
2023,8,2,"ex04",1,ex4,"[]","[]","['5 2\n', '5 6\n']","[None]"
2023,8,3,"ex09",1,ex9,"[]","[39.5,10]","['מחיר סופי :49.5\n']","[None]"
2023,8,3,"ex10",1,ex10,"[]","[55,10]","['מחיר סופי :550\n']","[None]"
2023,8,3,"ex11",1,ex11,"[]","[120]","['8\n']","[None]"
2023,8,3,"ex12",1,ex12,"[]","[10.5,20.5,30]","['61.0\n']","[None]"
2023,8,3,"ex13",1,ex13,"[]","[12]","['300\n']","[None]"
2023,8,3,"ex14",1,ex14,"[]","[10,100]","['400.0\n']","[None]"
2023,8,3,"ex15",1,ex15,"[]","[15,80]","['230.0\n']","[None]"
2023,8,4,"is_positive_number",1,ex4,"[]","[25]","['true\n']","[None]"
2023,8,4,"is_positive_number",1,ex4,"[]","[-3]","['false\n']","[None]"
2023,8,4,"is_above_64",1,ex5,"[]","[15,15]","['false\n']","[None]"
2023,8,4,"is_above_64",1,ex5,"[]","[35,35]","['true\n']","[None]"
2023,8,4,"is_above_64",1,ex5,"[]","[32,32]","['false\n']","[None]"
2023,8,4,"twoitems",1,ex6,"[]","[70,20]","['true\n']","[None]"
2023,8,4,"twoitems",2,ex6,"[]","[120,20]","['false\n']","[None]"
2023,8,4,"twoitems",3,ex6,"[]","[70,45]","['false\n']","[None]"
2023,8,4,"david",1,ex7,"[]","[140]","['מחיר מצוין\n','תודה שהשתמשתם בתוכנית הבדיקה של אהוד ודוד\n']","[None]"
2023,8,4,"david",1,ex7,"[]","[200]","['מחיר סביר\n','תודה שהשתמשתם בתוכנית הבדיקה של אהוד ודוד\n']","[None]"
2023,8,4,"david",1,ex7,"[]","[300]","['יקר אך איכותי\n','תודה שהשתמשתם בתוכנית הבדיקה של אהוד ודוד\n']","[None]"
2023,8,4,"noar",1,ex8,"[]","[40]","['אתם מדריכים מעולים\n','תנועת נוער למימוש החזון של יצירת חברה לומדת ועושה\n']","[None]"
2023,8,4,"noar",1,ex8,"[]","[22]","['מספר החניכים הכי גדול בסניף\n','תנועת נוער למימוש החזון של יצירת חברה לומדת ועושה\n']","[None]"
2023,8,4,"noar",1,ex8,"[]","[10]","['מספר סביר של חניכים\n','תנועת נוער למימוש החזון של יצירת חברה לומדת ועושה\n']","[None]"
2023,8,4,"noar",1,ex8,"[]","[6]","['יש לגייס דחוף חניכים לשבט\n','תנועת נוער למימוש החזון של יצירת חברה לומדת ועושה\n']","[None]"
2023,8,4,"colors",1,ex9,"[]","['yellow']","['צהוב\n','צבעים מזינים את נפש האדם ומעניקים לו תמיד שמחה ותקווה\n']","[None]"
2023,8,4,"colors",1,ex9,"[]","['blue']","['כחול\n','צבעים מזינים את נפש האדם ומעניקים לו תמיד שמחה ותקווה\n']","[None]"
2023,8,5,"showticket",1,ex1,"[]","[10]","['480\n']","[None]"
2023,8,5,"showticket",2,ex1,"[]","[110]","['4730\n']","[None]"
2023,8,5,"roads",1,ex2,"[]","['tomer',5]","['tomer 150\n']","[None]"
2023,8,5,"roads",2,ex2,"[]","['tomer',10]","['tomer 290\n']","[None]"
2023,8,5,"late",1,ex3,"[]","['tomer',3]","['tomer 3\n','EXCELLENT\n']","[None]"
2023,8,5,"late",1,ex3,"[]","['marta',6]","['marta 6\n','WARNING\n']","[None]"
2023,8,5,"gift",1,ex4,"[]","['bart',6]","['bart 600\n','GIFT\n']","[None]"
2023,8,5,"car",1,ex5,"[]","['bmw',5]","['bmw HEAVY\n']","[None]"
2023,8,5,"car",1,ex5,"[]","['honda',2]","['honda TWO\n']","[None]"
2023,8,5,"car",1,ex5,"[]","['sosita',3]","['Have a good day\n']","[None]"
2023,8,5,"car",1,ex6,"[]","[30,120]","['3600\n']","[None]"
2023,8,5,"car",1,ex6,"[]","[52,120]","['6000\n']","[None]"
2023,8,5,"bus",1,ex7,"[]","[15,10]","['YOUTH\n','400\n']","[None]"
2023,8,5,"bus",1,ex7,"[]","[20,10]","['ADULT\n','600\n']","[None]"
2023,8,5,"bus",1,ex8,"[]","[30,40]","['40\n','10\n']","[None]"
2023,8,5,"bus",1,ex8,"[]","[50,33]","['50\n','17\n']","[None]"
2023,8,6,"if",1,ex2,"[]","[18]","['shelf : 1\n','cart : 3\n']","[None]"
2023,8,6,"if",1,ex2,"[]","[9]","['shelf : 0\n','cart : 9\n']","[None]"
2023,8,6,"if",1,ex3,"[]","[300]","['15\n']","[None]"
2023,8,6,"if",1,ex3,"[]","[305]","['16\n']","[None]"
2023,8,6,"if",1,ex4a,"[]","[72]","['9\n']","[None]"
2023,8,6,"if",1,ex4a,"[]","[35]","['8\n']","[None]"
2023,8,6,"if",1,ex4b,"[]","[123]","['6\n']","[None]"
2023,8,6,"if",1,ex4b,"[]","[235]","['10\n']","[None]"
2023,8,6,"if",1,ex5a,"[]","[39]","['94\n']","[None]"
2023,8,6,"if",1,ex5a,"[]","[56]","['66\n']","[None]"
2023,8,6,"if",1,ex5b,"[]","[423]","['325\n']","[None]"
2023,8,6,"if",1,ex5b,"[]","[156]","['652\n']","[None]"
2023,8,6,"if",1,ex6,"[]","[10]","['10\n']","[None]"
2023,8,6,"if",1,ex6,"[]","[14]","['BOOM\n']","[None]"
2023,8,7,"for",1,ex2,"[]","['tomer']","['tomer\n','tomer\n','tomer\n','tomer\n','tomer\n','tomer\n','tomer\n','tomer\n','tomer\n','tomer\n']","[None]"
2023,8,7,"for",1,ex3,"[]","['tomer']","['tomer ','tomer ','tomer ','tomer ','tomer ','tomer ','tomer ','tomer ','tomer ','tomer ']","[None]"
2023,8,7,"for",1,ex4,"[]","['tomer',4]","['tomer\n','tomer\n','tomer\n','tomer\n']","[None]"
2023,8,7,"for",1,ex4,"[]","['bart',3]","['bart\n','bart\n','bart\n']","[None]"
2023,8,7,"for",1,ex5,"[]","[5,15,20,29,33,12,13]","['1 קר מאוד\n','2 קר\n','3 מעונן חלקית\n','4 חם\n','5 שרב\n','6 קר\n','7 קר\n']","[None]"
2023,8,7,"for",1,ex6,"[]","[]","['3\n','4\n','5\n','6\n','7\n','8\n','9\n']","[None]"
2023,8,7,"for",1,ex7,"[]","[]","['3$4$5$6$7$8$9']","[None]"
2023,8,7,"for",1,ex8,"[]","[]","['100\n','101\n','102\n','103\n','104\n','105\n','106\n','107\n','108\n','109\n']","[None]"
2023,8,7,"for",1,ex9,"[]","[]","['2\n','4\n','6\n','8\n','10\n','12\n']","[None]"
2023,8,7,"for",1,ex10,"[]","[]","['1\n','3\n','5\n','7\n','9\n','11\n','13\n']","[None]"
2023,8,7,"for",1,ex11,"[]","[5]","['11111,','22222,','33333,','44444,','55555']","[None]"
2023,8,7,"for",1,ex11,"[]","[4]","['11111,','22222,','33333,','44444']","[None]"
2023,8,7,"for",1,ex100,"[]","[5]","['15\n']","[None]"
2023,8,7,"for",1,ex100,"[]","[6]","['21\n']","[None]"
2023,8,7,"for",1,ex101,"[]","['part1',7,'part2',20,'part3',5,'part4',8,'part5',30]","['part2\n','part5\n','total:70\n']","[None]"
2023,8,7,"for",1,ex101,"[]","['part1',15,'part2',2,'part3',50,'part4',40,'part5',3]","['part1\n','part3\n','part4\n','total:110\n']","[None]"
2023,8,7,"for",1,ex102,"[]","['tomer',15,'noam',2,'orit',50,'harel',40,'yahel',3]","['orit BONUS\n','harel BONUS\n','total:110\n']","[None]"
2023,8,7,"for",1,ex103,"[]","['tomer',4,94,'noam',5,98,'orit',4,95,'harel',5,98,'yahel',5,97]","['tomer 4 95\n','noam 5 98 A\n','orit 5 95\n','harel 5 98 A\n','yahel 5 97 A\n','5 points:3\n']","[None]"
2023,8,7,"for",1,ex104,"[]","['tomer',2,'noam',3,'orit',4,'harel',5,'yahel',21]","['tomer 80\n','noam 115\n','orit 140\n','harel 175\n','yahel 735\n','above20:1\n']","[None]"
2023,8,7,"for",1,ex104,"[]","['tomer',2,'noam',30,'orit',4,'harel',5,'yahel',21]","['tomer 80\n','noam 1050\n','orit 140\n','harel 175\n','yahel 735\n','above20:2\n']","[None]"
2023,8,7,"for",1,ex105,"[]","['black','red','white','black','white']","['1 black\n','2 red\n','3 white\n','4 black\n','5 white\n','days black:2\n']","[None]"
2023,8,7,"for",1,ex105,"[]","['black','red','black','black','red']","['1 black\n','2 red\n','3 black\n','4 black\n','5 red\n','days black:3\n']","[None]"
2023,8,7,"for",1,ex106,"[]","['tomer','A','noam','B','orit','AB','harel','O','yahel','O']","['tomer A\n','noam B\n','orit AB\n','harel O\n','yahel O\n','type O:2\n']","[None]"
2023,8,8,"while",1,ex2,"[]","[100,260,-1]","['יש לשלם בהקדם תשלומי הורים!!!\n','שולמו תשלומי הורים לביהס\n','total collected: 360\n']","[None]"
2023,8,8,"while",1,ex2,"[]","[300,250,-2]","['שולמו תשלומי הורים לביהס\n','יש לשלם בהקדם תשלומי הורים!!!\n','total collected: 550\n']","[None]"
2023,8,8,"while",1,ex3,"[]","[90,92,70,999]","['1 תלמיד מצטיין\n','2 תלמיד מצטיין\n','3 לומד יפה\n']","[None]"
2023,8,8,"while",1,ex3,"[]","[60,80,90,95,999]","['1 שפר השיגך\n','2 לומד יפה\n','3 תלמיד מצטיין\n','4 תלמיד מצטיין\n']","[None]"
2023,8,8,"while",1,ex4,"[]","[60,50,90,91,-1]","['fail: 1\n','avg: 72.75\n']","[None]"
2023,8,8,"while",1,ex4,"[]","[62,50,53,102]","['fail: 2\n','avg: 55.0\n']","[None]"
2023,8,8,"while",1,ex5,"[]","[1.60,1.70,1.80,1.55,-1.8]","['below 1.65: 2\n','avg: 1.6625\n']","[None]"
2023,8,8,"while",1,ex5,"[]","[1.62,1.50,1.53,-2,3]","['below 1.65: 3\n','avg: 1.55\n']","[None]"
2023,8,10,"ex1",1,ex1,"[]","[12]","['300\n']","[None]"
2023,8,10,"car",1,ex2,"[]","['bmw',5]","['bmw HEAVY\n']","[None]"
2023,8,10,"car",1,ex2,"[]","['honda',2]","['honda TWO\n']","[None]"
2023,8,10,"car",1,ex2,"[]","['sosita',3]","['Have a good day\n']","[None]"
2023,8,10,"if",1,ex3,"[]","[39]","['94\n']","[None]"
2023,8,10,"if",1,ex3,"[]","[56]","['66\n']","[None]"
2023,8,10,"if",1,ex4,"[]","[10]","['10\n']","[None]"
2023,8,10,"if",1,ex4,"[]","[14]","['BOOM\n']","[None]"
2023,8,10,"for",1,ex6,"[]","['tomer',4]","['tomer\n','tomer\n','tomer\n','tomer\n']","[None]"
2023,8,10,"for",1,ex6,"[]","['bart',3]","['bart\n','bart\n','bart\n']","[None]"
2023,8,10,"for",1,ex8,"[]","[5]","['15\n']","[None]"
2023,8,10,"for",1,ex8,"[]","[6]","['21\n']","[None]"
2023,8,10,"for",1,ex9,"[]","['part1',7,'part2',20,'part3',5,'part4',8,'part5',30]","['part2\n','part5\n','total:70\n']","[None]"
2023,8,10,"for",1,ex9,"[]","['part1',15,'part2',2,'part3',50,'part4',40,'part5',3]","['part1\n','part3\n','part4\n','total:110\n']","[None]"
2023,8,11,"wordnextletter",1,ex3,"[]","['abcd']","['97 ', '98 ', '99 ', '100 ']","[None]"
2023,8,11,"wordnextletter",1,ex4,"[]","['abcd']","['bcde\n']","[None]"
2023,8,11,"wordnextletter",2,ex4,"[]","['zoo']","['app\n']","[None]"
2023,8,11,"wordnextletter",2,ex5,"[]","['hello','l']","['num=2\n']","[None]"
2023,8,11,"cohencount",1,ex6,"[]","[5,'tomer tubi','tal cohen','timor levi','yali cohen','adi']","['2\n']","[None]"
2023,8,11,"cohencount",1,ex6,"[]","[2,'tomer tubi','timor levi']","['0\n']","[None]"
2023,8,11,"first_last",1,ex7,"[]","['Cats and dogs are great friends']","['C*s\n']","[None]"
2023,8,11,"first_last",1,ex7,"[]","['Dogs and cats']","['D*s\n']","[None]"
2023,8,11,"middel",1,ex8,"[]","['abcde']","['c\n']","[None]"
2023,8,11,"middel",1,ex8,"[]","['abcd']","['bc\n']","[None]"
2023,8,11,"threestart_end",1,ex9,"[]","['tomer tubi']","['tomubi\n']","[None]"
2023,8,11,"threestart_end",1,ex9,"[]","['to']","['***\n']","[None]"
2023,8,11,"hundred_units_equal",1,ex10,"[]","[234]","['not equal\n']","[None]"
2023,8,11,"hundred_units_equal",1,ex10,"[]","[838]","['equal\n']","[None]"
2023,8,11,"rashai_tevot",1,ex11,"[]","['American Standard Code Information Interchange']","['ASCII\n']","[None]"
2023,8,11,"rashai_tevot",1,ex11,"[]","['Home Work']","['HW\n']","[None]"
2023,8,11,"count_is",1,ex12,"[]","['this is a distance']","['3\n']","[None]"
2023,8,11,"count_is",1,ex12,"[]","['I dont know']","['0\n']","[None]"
2023,8,11,"nikod_letter",1,ex13,"[]","['how many letters']","['a=1\n', 'e=2\n', 'i=0\n', 'o=1\n', 'u=0\n']","[None]"
2023,8,11,"nikod_letter",1,ex13,"[]","['You know the only one']","['a=0\n', 'e=2\n', 'i=0\n', 'o=4\n', 'u=1\n']","[None]"
2023,8,11,"first_last_word",1,ex14,"[]","['Dogs are great friends']","['Dogs friends\n']","[None]"
